127.0.0.1 - - [17/Jun/2024:23:04:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:04:25 +0530] "GET /servlets-demo-project0/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:04:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:04:44 +0530] "GET /servlets-demo-project0/display.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:04:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:04:52 +0530] "GET /servlets-demo-project0/delete?id=2 HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:04:55 +0530] "GET /servlets-demo-project0/delete?id=2 HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:04:57 +0530] "GET /servlets-demo-project0/delete?id=2 HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:04:57 +0530] "GET /servlets-demo-project0/delete?id=2 HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:05:10 +0530] "GET /servlets-demo-project0/display.jsp HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:05:11 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:05:28 +0530] "GET /servlets-demo-project0/home.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:05:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:05:32 +0530] "GET /servlets-demo-project0/display.jsp HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:05:47 +0530] "GET /servlets-demo-project0/display.jsp HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:05:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:05:53 +0530] "GET /servlets-demo-project0/edit.jsp?id=4 HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:06:22 +0530] "POST /servlets-demo-project0/editActionPage HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:06:38 +0530] "GET /servlets-demo-project0/edit.jsp?id=1 HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:06:47 +0530] "POST /servlets-demo-project0/editActionPage HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:06:57 +0530] "GET /servlets-demo-project0/edit.jsp?id=4 HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:07:22 +0530] "POST /servlets-demo-project0/editActionPage HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:07:58 +0530] "GET /servlets-demo-project0/edit.jsp?id=4 HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:08:34 +0530] "POST /servlets-demo-project0/editActionPage HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:08:59 +0530] "GET /servlets-demo-project0/edit.jsp?id=4 HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [17/Jun/2024:23:09:13 +0530] "POST /servlets-demo-project0/editActionPage HTTP/1.1" 200 1571
